ordinal   number    name                        hash
364       f2        NtGetContextThread  eb674f61579360a281701384caad7f1d451aa8d1dbfe90c49346587508697b63
365       f3        NtGetCurrentProcessorNumber  f3a24a994df279c1ab176e87534a99a862f64c24b8172d2027a24a48046097dc
366       f4        NtGetCurrentProcessorNumberEx  d6b2e14e74ecaff8a9c98c9239556be0674da544ebd75a50f39331821ae1c124
367       f5        NtGetDevicePowerState  7f735f06b289bdd5f023dc150113f7194d5ad6bb95b77a4548ae99941aec7640
368       f6        NtGetMUIRegistryInfo  7222b09db0a8a85b76a197c7f870e363d349c087388f8279a555e4bb4e835426
369       f7        NtGetNextProcess  b3a5bc39f8958ee137f29b0aab9f9ddd7b1fa90eaa4c58b166422c482ad55e97
370       f8        NtGetNextThread  f71a5caf9d8bc4db732dc92faccbe7801e5fdb25183cf8773de5e93283ae3abf
371       f9        NtGetNlsSectionPtr  96abbbb2d531340f2bfd224e5004a3bdbde6061a8f0d15a408914fb78069e536
372       fa        NtGetNotificationResourceManager  ddaf458d5e0fc16648717898cfa638054bfc428f932dc8b01b169e947b961311
374       fb        NtGetWriteWatch  906574511f3ac95d4de50df204f29baef3f60cc9011eba6117192617e9387122
375       fc        NtImpersonateAnonymousToken  a8b510c7acb2c707bacc7d7feaf8bd5f367eecd500c08fab43f9501f83fa7735
376       1f        NtImpersonateClientOfPort  864f1878ebdb5eb0450824b207f89bcaec899f9d24dbddf81356d8f611ad288f
377       fd        NtImpersonateThread  bd7bb8d6b960c7bc47f01c351c6a2b1aa4332e93a6998b4e28b5d0776a2beb47
378       fe        NtInitializeEnclave  e70776bfa848e1a17365faf65bb3774c46f37385de86beb55559e1fa34f39993
379       ff        NtInitializeNlsFiles  a3c79a12bc17b5f286f4cf9d9c371b7906de1e0d1e905aee38e1fea6610934cd
380       100       NtInitializeRegistry  c18bc24b524892ddac47d176fc77302985e9b8d12a83e53bf05618e1c37e0d07
381       101       NtInitiatePowerAction  df0cae69a0c15cece26ca53b44a4ebd3e78d97320fc4a523d864a6b7e9c4efa6
382       4f        NtIsProcessInJob  b28aff8ee7a51b91de9c382a6f8ccbf8e53af6fda03d0d7225a38e9129c4f6fe
383       102       NtIsSystemResumeAutomatic  3a1640586c161699218cff02a34352ec29ee8cbddc8b8955705a758ea6778d42
384       103       NtIsUILanguageComitted  3ea4e2fdfdbce4845f6d7f6fa57e43117c95e67549c0a400a6f968ea834904d2
385       104       NtListenPort  3405873bd976d8cd6aff257a197575d8eb48e71de6eb27d5d7527dba3562a997
387       106       NtLoadEnclaveData  600a5c6c03e605545de876caaf928f5dcf72e07b6731e5cc77d592bdc595fee2
388       107       NtLoadKey   e8ec51ac4dcc1e55550b604fb2f508ec8a87a9bf89a4f11f00db58a17c955b6b
389       108       NtLoadKey2  8e16bf5418410c956c9a7e9b06a1da366af4930582f8ebdc6a64755c083787dd
390       1d6       NtLoadKey3  4bd3df4963319994dfbdba0f8d79cbc1a18082cf3202889ed04c9e07fc8772e0
391       109       NtLoadKeyEx  6426e07f0f1d5c2bf46dfcc4ce398d99636c072f0e936426c53146185c9f1307
392       10a       NtLockFile  31949e101fe5f2900ff093dad468533fe2c60ccc9fea8fdea772ff9c18efcda5
393       10b       NtLockProductActivationKeys  4714b5a0fb4eb96843e9927a2b84ba38ee8a49e94cb99320e8ae13b6269e7d56
394       10c       NtLockRegistryKey  a1b49a1fcc9cbd148f02137a1a71d52581382e66b650a0cba2384d967f22b749
